gene,amp,phase
Efna1,1.3660988240997676,2.976527968
Lfng,1.5699278371474295,3.132255865
Per1,1.4327241517254623,3.09890535
Dusp4,1.6126102900006682,3.038825219
Hes1,1.1069381236245013,2.174679894
Epha2,1.1772043306994435,2.780568076
Id2,0.9966470709420622,2.744520948
Dusp7,0.9672774817649806,2.98139548
Rest,1.1077165926817334,2.992419896
Rab30,0.2280757155350055,2.924413636
Gse1,1.377324793579932,3.45876694
Trib1,0.7389870895736813,2.661487315
Klf10,0.9694014581666284,2.622936103
Tmem186,0.7955872753416351,0.063483373
Fzd1,1.0697645689664486,0.469957282
Cdx2,1.4216613652024626,2.921916986
Dll1,1.6523559302771698,2.715266448
Dkk1,0.7591834457773542,-0.180431423
Hes7,1.6850055692826378,3.37765865
Pim1,0.8190580870846496,2.456639701
Junb,0.6406796275883637,2.960670206
Tle3,1.2766183624166951,2.884776623
Atp5f1,1.1328548992810743,-0.469670638
Pdzrn3,1.1726785740746994,2.796965006
Frmd4a,0.9177135844323256,4.199755287
Bcl2l11,0.8100781621413115,2.986902512
Hes5,1.0509357570320677,2.152183854
Tmem200c,0.15881918841170628,-0.253077057
Klf16,0.973217751237983,3.082095744
Jade1,1.0388124241622325,3.088341398
Klf6,0.668625848914513,-0.403485149
Dbp,0.6231923680045024,3.592335299
Zfp608,0.5869418666205024,1.124121855
Col4a1,1.215629116142002,3.226094724
Mllt6,0.8032582531335,2.631664325
Sp5,1.2651065497182787,0.270003575
Tbc1d10b,0.9538180942679038,3.115587382
Rnf39,0.7258789059235439,3.31847053
Lhx1,0.6407950946713435,3.694216136
Dab2ip,1.144349818332873,3.631414027
Nrarp,1.5614002887371399,3.475937814
Rab11fip1,0.9645587730735861,2.664018394
Sox8,0.4225723158279255,3.073018386
Elmsan1,1.1192599829239156,2.890123228
Parp8,0.6628300628208933,-0.788147239
Sertad1,0.7695207130048088,3.014884929
Efnb1,1.1222152285218743,3.960006972
Mbp,0.8460152190169481,2.849798593
Cxxc5,1.2155428122912841,3.649259902
